iter	RMSE
0	11901.31332
1	11486.37064
2	11125.33428
3	10793.97311
4	10415.8791
5	10028.55582
6	9747.794122
7	9395.392828
8	9083.418321
9	8818.947575
10	8543.337151
11	8273.609647
12	8041.652251
13	7816.380229
14	7569.770749
15	7377.06515
16	7190.15057
17	7001.06949
18	6824.059877
19	6640.083147
20	6477.041714
21	6322.611999
22	6180.143385
23	6054.688689
24	5929.872766
25	5799.403441
26	5693.132759
27	5590.622263
28	5506.277377
29	5419.920733
30	5332.957607
31	5241.231147
32	5172.715099
33	5101.238099
34	5030.830943
35	4959.496663
36	4898.114595
37	4838.7228
38	4789.934239
39	4742.429897
40	4696.081828
41	4650.851359
42	4606.872321
43	4572.0248
44	4531.10833
45	4496.516899
46	4463.980672
47	4429.437406
48	4398.780474
49	4364.776683
50	4343.321233
51	4319.942491
52	4297.074201
53	4277.54458
54	4255.818031
55	4236.056495
56	4220.579713
57	4205.804841
58	4185.267097
59	4168.714441
60	4151.019305
61	4135.113253
62	4116.005892
63	4102.096228
64	4085.806572
65	4069.893977
66	4057.162646
67	4046.452269
68	4033.354389
69	4019.649167
70	4008.398469
71	3993.329897
72	3984.507185
73	3977.86488
74	3970.650413
75	3963.242571
76	3957.707797
77	3951.657544
78	3944.635643
79	3937.307327
80	3930.142916
81	3921.362982
82	3914.10499
83	3908.21171
84	3901.812164
85	3896.208777
86	3888.256201
87	3882.09842
88	3877.601396
89	3871.144602
90	3862.602125
91	3845.611251
92	3837.791016
93	3830.346228
94	3825.098683
95	3819.098068
96	3814.253504
97	3810.352632
98	3804.545146
99	3796.828714
100	3789.246281
101	3782.165868
102	3776.035131
103	3772.719471
104	3767.297554
105	3762.222441
106	3757.117068
107	3748.486081
108	3740.99135
109	3734.878297
110	3731.38281
111	3727.062551
112	3722.192819
113	3716.24287
114	3713.487041
115	3711.839461
116	3705.680518
117	3700.412286
118	3694.162953
119	3687.164392
120	3683.269646
121	3679.006097
122	3673.742875
123	3668.415955
124	3666.367697
125	3662.389623
126	3657.56249
127	3650.684623
128	3643.860243
129	3638.604248
130	3633.233601
131	3628.401842
132	3624.155866
133	3621.611722
134	3617.226483
135	3616.072
136	3613.104171
137	3607.068264
138	3603.306086
139	3599.766941
