iter	Passed	Remaining
0	106	31963
1	107	16047
2	108	10721
3	108	8060
4	109	6440
5	109	5363
6	109	4589
7	109	4013
8	110	3574
9	111	3223
10	111	2930
11	111	2684
12	112	2482
13	113	2309
14	113	2155
15	114	2027
16	114	1907
17	115	1804
18	115	1711
19	116	1628
20	116	1553
21	117	1482
22	117	1416
23	118	1359
24	118	1306
25	119	1258
26	120	1213
27	120	1171
28	121	1132
29	121	1094
30	122	1061
31	123	1030
32	124	1010
33	125	981
34	126	956
35	126	930
36	127	906
37	128	883
38	128	860
39	129	839
40	129	820
41	130	802
42	131	784
43	131	765
44	132	748
45	132	732
46	133	716
47	133	702
48	134	688
49	134	674
50	135	661
51	136	650
52	137	638
53	137	627
54	138	615
55	138	605
56	139	594
57	140	584
58	140	574
59	141	565
60	141	555
61	142	546
62	143	538
63	143	529
64	144	521
65	144	513
66	145	505
67	146	498
68	146	491
69	147	484
70	148	477
71	148	471
72	149	464
73	149	457
74	150	451
75	151	446
76	152	440
77	152	434
78	153	429
79	154	424
80	154	418
81	155	413
82	156	408
83	156	403
84	157	398
85	158	393
86	158	388
87	159	383
88	159	378
89	160	374
90	161	370
91	161	365
92	162	361
93	163	357
94	163	353
95	164	349
96	164	344
97	165	340
98	166	337
99	166	333
100	167	330
101	168	326
102	168	323
103	169	319
104	170	316
105	170	312
106	171	309
107	172	306
108	172	302
109	173	299
110	174	296
111	174	293
112	175	289
113	175	286
114	176	283
115	177	280
116	177	277
117	178	275
118	178	272
119	179	269
120	180	266
121	180	263
122	181	261
123	182	258
124	182	255
125	183	253
126	184	250
127	184	248
128	185	245
129	186	243
130	186	240
131	187	238
132	187	235
133	188	233
134	189	231
135	189	228
136	190	226
137	190	223
138	191	221
139	191	219
